model,dataset,delta_Z_RMSE,delta_Z_MAE,pressure_MAPE_percent,pressure_max_error_percent,max_depth,accuracy,balanced_accuracy
gate_depth_3,natural_validation,0.017639177606474248,0.007049803657042654,0.8327019020581673,11.8458687118039,3,0.86,0.871436133498881
gate_depth_3,stress_validation,0.010925224781216393,0.0063881654556971505,0.6158241882254271,5.911428690079766,3,0.8,0.7118407389189484
gate_depth_4,natural_validation,0.014685384730002205,0.003647134725513779,0.5161537738831949,58.903975831464116,4,0.952,0.9466354630611117
gate_depth_4,stress_validation,0.017935755558090554,0.0094245067042293,0.9562214310798322,12.061314309611289,4,0.78875,0.6946509576120987
gate_depth_5,natural_validation,0.006673065166628699,0.002908424889162032,0.3695047699861703,11.380195777477049,5,0.973,0.9406326017253551
gate_depth_5,stress_validation,0.023635804801226602,0.011326348956222127,1.1374915958386733,15.08687754127024,5,0.81,0.7470010696523239
gate_depth_6,natural_validation,0.015104760118878199,0.0032618167758761817,0.4464866539452217,73.6439591917949,6,0.978,0.9646530942935806
gate_depth_6,stress_validation,0.01227640218320191,0.00575847258144881,0.5402710016519658,11.208019513427528,6,0.89,0.8097695562894774
gate_depth_8,natural_validation,0.005013889956158062,0.0026591525954526773,0.3430480797750739,6.046217653605071,8,0.98,0.95521804470711
gate_depth_8,stress_validation,0.011627322831317493,0.005911770066272906,0.5513317875328583,8.324188958512902,8,0.92125,0.9101989787552994
gate_depth_10,natural_validation,0.004671980098369054,0.002580657730166203,0.3351428845282434,6.046217653605071,10,0.982,0.9672274959320385
gate_depth_10,stress_validation,0.00965547542869814,0.005108682937472104,0.46578992791074936,7.015229499060414,10,0.945,0.9270869931838943
gate_depth_12,natural_validation,0.004671980098369054,0.002580657730166203,0.3351428845282434,6.046217653605071,12,0.982,0.9672274959320385
gate_depth_12,stress_validation,0.00965547542869814,0.005108682937472104,0.46578992791074936,7.015229499060414,12,0.945,0.9270869931838943
